                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4617,                   1.52,                 1.1754,                0.63997,                0.56043,                0.63195,                0.33302,                 1.7154,                 1.7753,                 1.2897,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.5113,                 1.6039,                 1.2102,                0.65023,                 0.4976,                0.59784,                0.31649,                 1.7762,                 1.7718,                 1.3109,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.4476,                 1.4938,                 1.1755,                0.70703,                0.49578,                0.64999,                0.36566,                 1.7017,                 1.7324,                 1.2915,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.4674,                 1.4924,                 1.1749,                0.71762,                0.52029,                 0.6622,                0.36198,                 1.7445,                 1.6945,                 1.3295,              0.0011015,              0.0011015,              0.0011015
                     38,                  1.482,                 1.5988,                 1.1933,                0.72901,                0.52879,                 0.6822,                 0.3605,                 1.8221,                 1.7306,                 1.3438,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.4166,                 1.4815,                 1.1742,                0.78252,                0.55978,                0.70251,                0.37946,                 1.7141,                 1.5705,                 1.3098,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.4652,                 1.4802,                 1.1729,                0.66119,                0.71793,                0.76158,                0.40843,                 1.6421,                 1.4636,                 1.2257,              0.0010891,              0.0010891,              0.0010891
                     41,                  1.398,                 1.4338,                 1.1437,                0.66512,                0.70203,                0.75708,                0.44051,                 1.5744,                 1.4482,                 1.2327,               0.001085,               0.001085,               0.001085
                     42,                 1.4011,                  1.372,                 1.1196,                0.72426,                0.71151,                0.76089,                0.44244,                 1.5913,                 1.4416,                 1.2677,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.3986,                 1.3759,                 1.1607,                0.75341,                0.64004,                0.75715,                0.44459,                 1.5697,                 1.4092,                 1.2356,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.3418,                 1.4251,                 1.1332,                0.68109,                0.66411,                0.72735,                0.40456,                 1.6259,                 1.5504,                 1.2388,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.4528,                 1.4045,                 1.1779,                0.67088,                 0.6584,                0.72489,                0.40433,                 1.6623,                 1.4865,                  1.218,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.4515,                 1.4533,                 1.1832,                0.73266,                0.68219,                 0.7221,                0.42939,                 1.5996,                 1.4452,                 1.2039,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.4268,                 1.3866,                 1.1514,                0.66823,                0.67354,                0.71882,                0.40178,                 1.5848,                 1.4673,                 1.2102,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.4146,                 1.3591,                 1.1497,                0.69228,                  0.621,                0.71683,                0.38125,                 1.6502,                 1.4736,                 1.1775,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.4094,                 1.3226,                 1.1289,                0.68131,                0.66962,                0.73914,                0.36667,                 1.7144,                 1.4358,                 1.1739,               0.001052,               0.001052,               0.001052
                     50,                 1.3417,                 1.3077,                 1.1252,                0.68679,                0.66903,                0.76151,                0.43515,                 1.5707,                 1.3523,                 1.1454,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.3285,                 1.3006,                 1.1236,                0.72208,                0.72849,                0.80099,                 0.4819,                 1.4175,                 1.2977,                  1.139,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.3335,                 1.2916,                 1.1114,                0.69256,                0.82064,                0.80187,                0.46475,                 1.4925,                 1.3203,                 1.2399,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.3228,                 1.2748,                 1.1052,                0.78239,                0.75644,                0.81111,                0.45614,                 1.5462,                 1.2514,                 1.2031,              0.0010355,              0.0010355,              0.0010355
                     54,                  1.357,                   1.28,                 1.1261,                0.81071,                0.71364,                0.79891,                0.46265,                 1.5173,                 1.2413,                 1.1674,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.2943,                 1.2736,                 1.1138,                0.83158,                0.72297,                0.80238,                0.49162,                 1.4436,                 1.2184,                 1.1448,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.3293,                 1.2085,                  1.114,                0.73913,                 0.7626,                0.79404,                0.48509,                 1.4307,                 1.2296,                 1.1604,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.2741,                 1.2546,                 1.0984,                0.74711,                0.64904,                0.75631,                0.46498,                 1.4706,                 1.3354,                 1.1985,               0.001019,               0.001019,               0.001019
                     58,                 1.2935,                 1.2235,                 1.0882,                0.74529,                0.63332,                0.75901,                0.45941,                 1.5028,                   1.53,                  1.214,              0.0010149,              0.0010149,              0.0010149
                     59,                 1.3424,                 1.2831,                 1.1327,                0.73678,                0.64576,                0.72991,                0.44363,                 1.5322,                 1.5685,                 1.1961,              0.0010107,              0.0010107,              0.0010107
                     60,                 1.2874,                 1.2014,                 1.1035,                0.76876,                0.67988,                0.79421,                  0.461,                 1.5451,                  1.489,                 1.1463,              0.0010066,              0.0010066,              0.0010066
                     61,                 1.3031,                 1.2064,                 1.0906,                0.76629,                    0.7,                0.78673,                0.44553,                 1.5688,                 1.5567,                 1.1801,              0.0010025,              0.0010025,              0.0010025
                     62,                 1.3359,                 1.2336,                 1.1077,                0.85781,                0.64985,                0.80171,                0.46751,                 1.4951,                 1.4417,                 1.1812,             0.00099837,             0.00099837,             0.00099837
                     63,                 1.2694,                 1.2182,                 1.0797,                0.79076,                0.70398,                0.79515,                0.47009,                  1.439,                 1.3224,                 1.1446,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.2768,                  1.183,                 1.0795,                0.73392,                0.79694,                0.80889,                0.48524,                  1.426,                 1.2074,                 1.1301,             0.00099013,             0.00099013,             0.00099013
                     65,                 1.3156,                 1.2605,                 1.1211,                0.71813,                0.82959,                0.81633,                 0.5015,                 1.4352,                 1.1695,                 1.1247,               0.000986,               0.000986,               0.000986
                     66,                 1.2124,                 1.1698,                  1.085,                0.77408,                  0.838,                0.83454,                0.50637,                  1.459,                 1.1846,                 1.1114,             0.00098187,             0.00098187,             0.00098187
                     67,                 1.3035,                 1.1573,                 1.0855,                0.77802,                0.79158,                0.81785,                0.50676,                   1.47,                 1.1951,                 1.1061,             0.00097775,             0.00097775,             0.00097775
                     68,                 1.3284,                 1.2224,                 1.0907,                0.79596,                0.80095,                0.81777,                0.52148,                 1.3804,                 1.1414,                 1.1222,             0.00097362,             0.00097362,             0.00097362
                     69,                 1.2865,                 1.2312,                 1.0976,                0.80292,                0.78748,                0.81935,                0.50985,                 1.3571,                 1.1631,                 1.1203,              0.0009695,              0.0009695,              0.0009695
                     70,                 1.2613,                 1.1856,                 1.0809,                0.85043,                0.75061,                0.82039,                0.51204,                 1.3453,                 1.1096,                 1.1143,             0.00096537,             0.00096537,             0.00096537
                     71,                 1.2969,                 1.1899,                 1.0965,                0.84356,                0.74106,                0.82882,                0.51719,                 1.3751,                 1.1044,                 1.1161,             0.00096125,             0.00096125,             0.00096125
                     72,                  1.247,                  1.162,                 1.0413,                0.76995,                0.78614,                0.83825,                0.51441,                 1.4477,                 1.1122,                  1.165,             0.00095712,             0.00095712,             0.00095712
                     73,                 1.2147,                 1.1068,                 1.0772,                0.80074,                0.78521,                0.84379,                0.50789,                 1.3945,                 1.1355,                 1.1492,               0.000953,               0.000953,               0.000953
                     74,                 1.2177,                 1.1554,                  1.066,                0.77947,                0.77021,                0.83578,                0.50301,                  1.365,                 1.1617,                 1.1274,             0.00094887,             0.00094887,             0.00094887
                     75,                 1.2559,                 1.1959,                 1.0777,                 0.7783,                0.84811,                0.85114,                0.49655,                 1.4024,                 1.1729,                 1.1531,             0.00094475,             0.00094475,             0.00094475
                     76,                 1.2576,                 1.1394,                 1.0885,                0.81263,                0.75866,                0.84359,                0.51428,                 1.3261,                  1.287,                 1.1077,             0.00094062,             0.00094062,             0.00094062
                     77,                 1.2194,                 1.1239,                 1.0618,                0.82721,                0.75394,                0.84067,                0.51688,                 1.3368,                  1.285,                 1.1247,              0.0009365,              0.0009365,              0.0009365
