                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.959,                 4.6843,                 2.7326,                      0,                      0,                      0,                      0,                 3.5602,                  4.572,                 2.1197,                  1e-05,                  1e-05,                  1e-05
                      2,                 4.8331,                 4.6825,                 2.6577,                      0,                      0,                      0,                      0,                 3.5615,                 4.5694,                 2.1521,             2.9901e-05,             2.9901e-05,             2.9901e-05
                      3,                 4.9612,                 4.7114,                 2.6264,                      0,                      0,                      0,                      0,                 3.5902,                 4.5683,                 2.1684,              4.967e-05,              4.967e-05,              4.967e-05
                      4,                 4.5764,                 4.6632,                 2.8769,                      0,                      0,                      0,                      0,                  3.574,                 4.5681,                 2.1856,             6.9307e-05,             6.9307e-05,             6.9307e-05
                      5,                 4.7931,                 4.6491,                 2.5376,                      0,                      0,                      0,                      0,                 3.0177,                 4.5309,                 1.9266,             8.8812e-05,             8.8812e-05,             8.8812e-05
                      6,                 3.8365,                 4.5346,                  1.945,                      0,                      0,                      0,                      0,                 2.7788,                 4.4836,                 1.8358,             0.00010818,             0.00010818,             0.00010818
                      7,                 3.1119,                 4.4023,                 1.7123,                      0,                      0,                      0,                      0,                 2.9888,                 4.4099,                  1.901,             0.00012743,             0.00012743,             0.00012743
                      8,                 3.0469,                 4.2134,                 1.6033,                      0,                      0,                      0,                      0,                 3.2022,                 4.3901,                  2.043,             0.00014653,             0.00014653,             0.00014653
                      9,                 2.8793,                 3.9405,                 1.5492,                      0,                      0,                      0,                      0,                 3.1446,                 4.3753,                 2.0494,             0.00016551,             0.00016551,             0.00016551
                     10,                 2.6862,                 3.7683,                 1.4757,                      0,                      0,                      0,                      0,                 2.8622,                 4.3255,                 1.9733,             0.00018436,             0.00018436,             0.00018436
                     11,                 2.7334,                 3.5504,                 1.4215,                0.00291,                0.07687,                0.00617,                0.00086,                 2.5659,                 4.2459,                 1.8485,             0.00020307,             0.00020307,             0.00020307
                     12,                 2.4657,                 3.3521,                 1.4055,                  0.003,                0.05034,                0.00842,                0.00125,                  2.317,                 4.1657,                 1.6359,             0.00022165,             0.00022165,             0.00022165
                     13,                 2.5139,                 3.1076,                 1.3474,                0.00133,                 0.0102,                0.00195,                0.00052,                  2.146,                 4.0939,                 1.5109,              0.0002401,              0.0002401,              0.0002401
                     14,                  2.082,                 2.8539,                  1.548,                0.00495,                0.03741,                0.00746,                0.00183,                 1.9814,                  4.014,                 1.4369,             0.00025842,             0.00025842,             0.00025842
                     15,                 1.9691,                 2.7018,                 1.3406,                0.01256,                0.08844,                0.03526,                0.00765,                 1.8886,                 3.9099,                 1.3988,              0.0002766,              0.0002766,              0.0002766
                     16,                 2.4219,                 2.4665,                  1.271,                0.01515,                0.10884,                0.04134,                0.01335,                 1.8779,                 3.7691,                  1.372,             0.00029466,             0.00029466,             0.00029466
                     17,                 2.3989,                 2.0911,                 1.3386,                0.01687,                0.11565,                0.05808,                0.02648,                 1.8264,                 3.6128,                  1.356,             0.00031258,             0.00031258,             0.00031258
                     18,                 2.3942,                  2.053,                 1.2486,                0.02176,                0.17959,                0.09226,                0.04397,                 1.7643,                 3.4811,                 1.3514,             0.00033036,             0.00033036,             0.00033036
                     19,                 2.1392,                 1.9205,                 1.2329,                0.94037,                0.07143,                0.13202,                0.05235,                 1.7757,                 3.2103,                 1.3757,             0.00034802,             0.00034802,             0.00034802
                     20,                 1.9765,                 1.8885,                 1.2054,                0.95211,                0.07483,                0.17844,                 0.0779,                 1.6536,                 2.9365,                 1.3474,             0.00036555,             0.00036555,             0.00036555
                     21,                 2.0431,                  1.788,                 1.1884,                0.95763,                0.07984,                0.25208,                0.11588,                 1.5706,                 2.6862,                 1.2968,             0.00038294,             0.00038294,             0.00038294
                     22,                 1.7618,                 1.6808,                 1.2071,                0.95607,                0.08844,                 0.2735,                0.14453,                 1.4894,                 2.4773,                 1.2134,              0.0004002,              0.0004002,              0.0004002
                     23,                 1.7701,                 1.7653,                   1.19,                0.91926,                0.11905,                0.26657,                0.14683,                 1.4349,                 2.3654,                 1.1738,             0.00041733,             0.00041733,             0.00041733
                     24,                 1.7986,                 1.7985,                 1.1161,                0.91533,                0.11905,                0.31407,                0.16164,                 1.4938,                 2.2781,                 1.2069,             0.00043433,             0.00043433,             0.00043433
                     25,                 1.7261,                 1.5576,                 1.1335,                0.91129,                 0.1677,                0.34118,                 0.1689,                 1.5402,                 2.1824,                 1.2402,             0.00045119,             0.00045119,             0.00045119
                     26,                 1.7289,                 1.6387,                 1.1256,                0.90772,                0.21125,                0.37799,                0.19088,                 1.4839,                 2.0931,                 1.1936,             0.00046792,             0.00046792,             0.00046792
                     27,                 2.0078,                 1.6733,                 1.1624,                0.92243,                0.25745,                0.42845,                0.24048,                 1.3464,                 1.9018,                 1.1149,             0.00048453,             0.00048453,             0.00048453
                     28,                 1.6303,                 1.4826,                 1.1056,                0.92243,                0.25745,                0.42845,                0.24048,                 1.3464,                 1.9018,                 1.1149,               0.000501,               0.000501,               0.000501
                     29,                 1.8534,                 1.5054,                 1.1642,                0.92226,                0.27551,                0.44695,                0.26794,                 1.3074,                 1.7579,                  1.088,             0.00051733,             0.00051733,             0.00051733
                     30,                 2.1148,                 1.5493,                 1.1714,                0.88451,                0.28571,                0.45236,                0.28384,                 1.2457,                 1.6355,                 1.0853,             0.00053354,             0.00053354,             0.00053354
                     31,                 1.5818,                 1.3638,                 1.1085,                0.88451,                0.28571,                0.45236,                0.28384,                 1.2457,                 1.6355,                 1.0853,             0.00054961,             0.00054961,             0.00054961
