                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9941,                 1.5631,                 1.2471,                0.91237,                0.12245,                0.26288,                0.13368,                 1.7539,                 2.0792,                 1.3178,             0.00068058,             0.00068058,             0.00068058
                     36,                 1.8041,                 1.5822,                 1.2841,                0.63189,                0.26992,                0.27714,                0.13441,                 1.6972,                 2.0614,                 1.2618,              0.0006977,              0.0006977,              0.0006977
                     37,                 1.8963,                 1.7039,                 1.2372,                0.63189,                0.26992,                0.27714,                0.13441,                 1.6972,                 2.0614,                 1.2618,             0.00071468,             0.00071468,             0.00071468
                     38,                 1.7398,                 1.6593,                 1.2769,                0.55617,                0.38338,                0.19662,                0.10544,                 1.7277,                 2.0604,                 1.2434,             0.00073151,             0.00073151,             0.00073151
                     39,                 1.9595,                 1.5433,                 1.2443,                0.61726,                0.35837,                0.22488,                0.12198,                 1.6337,                 1.9517,                 1.2304,             0.00074819,             0.00074819,             0.00074819
                     40,                 1.8658,                 1.5163,                 1.2063,                0.61726,                0.35837,                0.22488,                0.12198,                 1.6337,                 1.9517,                 1.2304,             0.00076473,             0.00076473,             0.00076473
                     41,                 1.7915,                 1.5293,                 1.3003,                0.63785,                0.31347,                0.24295,                0.11333,                  1.711,                  1.997,                 1.3035,             0.00078112,             0.00078112,             0.00078112
                     42,                  1.618,                 1.5164,                 1.3113,                0.66398,                0.33991,                0.27456,                0.12375,                  1.707,                 1.8858,                 1.2949,             0.00079737,             0.00079737,             0.00079737
                     43,                 1.6567,                 1.5048,                 1.2174,                0.66398,                0.33991,                0.27456,                0.12375,                  1.707,                 1.8858,                 1.2949,             0.00081346,             0.00081346,             0.00081346
                     44,                 1.7434,                 1.5743,                 1.3444,                0.72705,                0.33056,                0.29206,                0.16495,                 1.5214,                   1.78,                 1.2448,             0.00082941,             0.00082941,             0.00082941
                     45,                 1.5224,                 1.4236,                 1.2778,                0.72705,                0.33056,                0.29206,                0.16495,                 1.5214,                   1.78,                 1.2448,             0.00084522,             0.00084522,             0.00084522
                     46,                 1.7367,                 1.4361,                 1.2245,                0.70232,                0.31098,                0.32192,                0.19291,                 1.5105,                 1.7138,                 1.2442,             0.00086088,             0.00086088,             0.00086088
                     47,                 1.7175,                 1.4385,                 1.2278,                0.70232,                0.31098,                0.32192,                0.19291,                 1.5105,                 1.7138,                 1.2442,             0.00087639,             0.00087639,             0.00087639
                     48,                 1.7273,                 1.3706,                 1.2913,                0.69774,                0.34926,                0.33623,                0.20515,                 1.5029,                 1.6398,                 1.2394,             0.00089175,             0.00089175,             0.00089175
                     49,                 1.5653,                 1.4164,                 1.3086,                0.69774,                0.34926,                0.33623,                0.20515,                 1.5029,                 1.6398,                 1.2394,             0.00090697,             0.00090697,             0.00090697
                     50,                 1.8452,                 1.3772,                 1.1719,                0.48771,                0.41334,                0.40278,                0.23495,                 1.5177,                 1.5784,                 1.2121,             0.00092204,             0.00092204,             0.00092204
                     51,                 1.5574,                 1.3675,                 1.2151,                0.48771,                0.41334,                0.40278,                0.23495,                 1.5177,                 1.5784,                 1.2121,             0.00092769,             0.00092769,             0.00092769
                     52,                 1.5644,                  1.328,                  1.234,                0.54397,                0.62286,                0.44976,                0.27438,                 1.5055,                  1.519,                 1.2021,             0.00092402,             0.00092402,             0.00092402
                     53,                 1.6473,                 1.3529,                 1.2579,                0.54397,                0.62286,                0.44976,                0.27438,                 1.5055,                  1.519,                 1.2021,             0.00092035,             0.00092035,             0.00092035
                     54,                 1.5909,                 1.5383,                 1.2515,                0.69288,                0.51469,                0.54119,                0.39734,                 1.4163,                 1.5488,                  1.191,             0.00091669,             0.00091669,             0.00091669
                     55,                  1.656,                 1.3474,                 1.1895,                0.69288,                0.51469,                0.54119,                0.39734,                 1.4163,                 1.5488,                  1.191,             0.00091302,             0.00091302,             0.00091302
                     56,                 1.8022,                  1.382,                 1.2189,                0.65803,                0.51913,                0.57183,                0.39904,                 1.3795,                 1.5711,                 1.1916,             0.00090935,             0.00090935,             0.00090935
                     57,                 1.5535,                 1.3214,                 1.2518,                0.65803,                0.51913,                0.57183,                0.39904,                 1.3795,                 1.5711,                 1.1916,             0.00090569,             0.00090569,             0.00090569
                     58,                 1.9399,                 1.3673,                 1.1682,                0.72736,                0.46427,                0.57565,                0.39476,                 1.3712,                 1.5525,                 1.1939,             0.00090202,             0.00090202,             0.00090202
                     59,                 1.5431,                 1.2793,                 1.2272,                0.72736,                0.46427,                0.57565,                0.39476,                 1.3712,                 1.5525,                 1.1939,             0.00089835,             0.00089835,             0.00089835
                     60,                 1.5823,                 1.2745,                 1.2063,                0.70886,                0.52912,                0.64671,                0.46312,                 1.3656,                 1.5132,                 1.2077,             0.00089469,             0.00089469,             0.00089469
                     61,                 1.5388,                 1.3035,                 1.2272,                0.70886,                0.52912,                0.64671,                0.46312,                 1.3656,                 1.5132,                 1.2077,             0.00089102,             0.00089102,             0.00089102
                     62,                 1.5863,                 1.3193,                 1.1902,                0.69114,                0.61948,                0.69472,                0.50095,                 1.3481,                 1.4289,                 1.1988,             0.00088736,             0.00088736,             0.00088736
                     63,                 1.6137,                 1.2721,                 1.1854,                0.69114,                0.61948,                0.69472,                0.50095,                 1.3481,                 1.4289,                 1.1988,             0.00088369,             0.00088369,             0.00088369
                     64,                 1.6865,                 1.9067,                 1.3902,                0.71241,                0.64405,                0.80827,                0.56834,                 1.3844,                 1.2869,                 1.1949,             0.00088002,             0.00088002,             0.00088002
                     65,                 1.5227,                 1.2143,                 1.1992,                0.71241,                0.64405,                0.80827,                0.56834,                 1.3844,                 1.2869,                 1.1949,             0.00087636,             0.00087636,             0.00087636
                     66,                 1.6657,                 1.2927,                 1.2414,                0.76958,                0.63837,                0.83652,                0.60151,                 1.4268,                 1.2117,                 1.2336,             0.00087269,             0.00087269,             0.00087269
                     67,                 1.5332,                  1.357,                 1.2338,                0.76958,                0.63837,                0.83652,                0.60151,                 1.4268,                 1.2117,                 1.2336,             0.00086902,             0.00086902,             0.00086902
                     68,                 1.7209,                  1.286,                  1.216,                  0.696,                0.77887,                0.82404,                0.59929,                 1.3892,                 1.1211,                 1.2043,             0.00086536,             0.00086536,             0.00086536
                     69,                 1.5005,                 1.2501,                 1.1793,                  0.696,                0.77887,                0.82404,                0.59929,                 1.3892,                 1.1211,                 1.2043,             0.00086169,             0.00086169,             0.00086169
                     70,                 1.5179,                 1.2041,                 1.2377,                0.72874,                0.78464,                0.82442,                0.59356,                 1.3002,                 1.1103,                 1.1724,             0.00085803,             0.00085803,             0.00085803
                     71,                 1.5497,                 1.2131,                 1.2785,                0.72874,                0.78464,                0.82442,                0.59356,                 1.3002,                 1.1103,                 1.1724,             0.00085436,             0.00085436,             0.00085436
                     72,                 1.4935,                 1.1774,                 1.1769,                0.65784,                0.79435,                0.82357,                 0.5687,                 1.3643,                 1.1563,                 1.2031,             0.00085069,             0.00085069,             0.00085069
                     73,                  1.556,                 1.2748,                 1.2405,                0.65784,                0.79435,                0.82357,                 0.5687,                 1.3643,                 1.1563,                 1.2031,             0.00084703,             0.00084703,             0.00084703
                     74,                 1.4647,                  1.386,                  1.298,                0.63005,                0.80676,                0.79935,                0.56824,                 1.4108,                 1.1543,                 1.2132,             0.00084336,             0.00084336,             0.00084336
                     75,                 1.7469,                  1.173,                 1.2245,                0.63005,                0.80676,                0.79935,                0.56824,                 1.4108,                 1.1543,                 1.2132,             0.00083969,             0.00083969,             0.00083969
                     76,                 1.6428,                 1.1794,                 1.3296,                  0.632,                0.84227,                0.83791,                0.58192,                 1.3425,                 1.0693,                 1.1892,             0.00083603,             0.00083603,             0.00083603
                     77,                 1.7759,                 1.1495,                 1.2168,                  0.632,                0.84227,                0.83791,                0.58192,                 1.3425,                 1.0693,                 1.1892,             0.00083236,             0.00083236,             0.00083236
                     78,                 1.5849,                 1.1521,                 1.2521,                0.83376,                0.72524,                 0.8866,                0.62228,                 1.2282,                 1.0073,                 1.1638,             0.00082869,             0.00082869,             0.00082869
                     79,                 1.8305,                 1.2136,                 1.2043,                0.83376,                0.72524,                 0.8866,                0.62228,                 1.2282,                 1.0073,                 1.1638,             0.00082503,             0.00082503,             0.00082503
                     80,                 1.4934,                 1.1944,                 1.1797,                0.77121,                0.77239,                0.91199,                0.66035,                 1.1833,                0.99884,                 1.1535,             0.00082136,             0.00082136,             0.00082136
                     81,                 1.3538,                 1.1235,                 1.2002,                0.77121,                0.77239,                0.91199,                0.66035,                 1.1833,                0.99884,                 1.1535,              0.0008177,              0.0008177,              0.0008177
