                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7798,                  4.887,                 4.3633,                      0,                      0,                      0,                      0,                 4.4784,                 4.5325,                  2.877,                  1e-05,                  1e-05,                  1e-05
                      2,                 5.6112,                 4.7901,                 4.0276,                      0,                      0,                      0,                      0,                 4.4486,                 4.5251,                 2.8714,             2.9901e-05,             2.9901e-05,             2.9901e-05
                      3,                 5.7861,                 4.8052,                 4.0689,                      0,                      0,                      0,                      0,                 4.4346,                  4.497,                 2.8778,              4.967e-05,              4.967e-05,              4.967e-05
                      4,                 5.4278,                 4.7721,                 4.0854,                      0,                      0,                      0,                      0,                 4.1669,                 4.4655,                 2.6898,             6.9307e-05,             6.9307e-05,             6.9307e-05
                      5,                 5.6331,                 4.7302,                 3.9251,                      0,                      0,                      0,                      0,                 3.8721,                 4.4248,                   2.47,             8.8812e-05,             8.8812e-05,             8.8812e-05
                      6,                 5.2229,                 4.6401,                 3.3509,                      0,                      0,                      0,                      0,                 3.3948,                 4.3466,                  2.107,             0.00010818,             0.00010818,             0.00010818
                      7,                 4.3877,                  4.498,                 2.6041,                      0,                      0,                      0,                      0,                 3.2703,                 4.2549,                 1.9946,             0.00012743,             0.00012743,             0.00012743
                      8,                 4.1475,                 4.3375,                 2.3052,                      0,                      0,                      0,                      0,                 3.5272,                 4.1766,                 2.1159,             0.00014653,             0.00014653,             0.00014653
                      9,                 3.5526,                 4.1436,                 2.0117,                      0,                      0,                      0,                      0,                 3.9167,                 4.1471,                 2.1338,             0.00016551,             0.00016551,             0.00016551
                     10,                 3.3841,                 3.9186,                 2.0454,                      0,                      0,                      0,                      0,                 4.0567,                 4.1634,                 2.0943,             0.00018436,             0.00018436,             0.00018436
                     11,                 3.2229,                 3.7607,                 1.9102,                0.00154,                0.04014,                0.01009,                 0.0021,                 3.7368,                 4.1475,                 1.9514,             0.00020307,             0.00020307,             0.00020307
                     12,                 3.0264,                 3.5734,                 1.9156,                0.00584,                0.08367,                0.00948,                0.00442,                 3.1554,                  4.111,                 1.7646,             0.00022165,             0.00022165,             0.00022165
                     13,                 2.9491,                  3.236,                 1.8067,                0.00635,                0.09048,                0.01176,                0.00399,                 2.7908,                 4.0533,                  1.664,              0.0002401,              0.0002401,              0.0002401
                     14,                 3.0133,                 3.0022,                 2.0041,                0.00698,                0.09388,                0.00763,                 0.0029,                 2.6054,                  3.992,                 1.6405,             0.00025842,             0.00025842,             0.00025842
                     15,                 2.7136,                 2.7034,                 1.7606,                 0.0131,                0.12789,                0.01716,                0.00404,                 2.5072,                 3.8918,                 1.6415,              0.0002766,              0.0002766,              0.0002766
                     16,                 3.0872,                 2.6181,                 1.7419,                0.01788,                 0.1551,                0.02538,                0.00589,                  2.471,                 3.7695,                 1.6475,             0.00029466,             0.00029466,             0.00029466
                     17,                 2.8536,                 2.4457,                 1.7815,                 0.0232,                0.20952,                0.06709,                0.02654,                 2.3899,                 3.6187,                 1.6288,             0.00031258,             0.00031258,             0.00031258
                     18,                 2.7357,                   2.31,                 1.6503,                 0.0264,                0.22381,                0.10394,                0.04737,                 2.2885,                 3.4934,                 1.5998,             0.00033036,             0.00033036,             0.00033036
                     19,                 2.5011,                 2.3123,                 1.6173,                0.02817,                0.24762,                0.12883,                0.06222,                 2.2826,                 3.3678,                 1.5997,             0.00034802,             0.00034802,             0.00034802
