                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8051,                 1.6361,                 1.2139,                0.39335,                0.47761,                 0.2689,                0.13328,                 1.8421,                  2.426,                 1.3484,             0.00072689,             0.00072689,             0.00072689
                     36,                 1.8008,                 1.5996,                 1.2836,                0.40257,                0.50149,                0.29252,                0.15067,                 1.6594,                 2.4987,                 1.2665,             0.00074676,             0.00074676,             0.00074676
                     37,                 1.7653,                 1.6473,                  1.302,                0.40257,                0.50149,                0.29252,                0.15067,                 1.6594,                 2.4987,                 1.2665,             0.00076656,             0.00076656,             0.00076656
                     38,                 1.6885,                 1.5312,                 1.2748,                0.74298,                0.32323,                0.32161,                0.15577,                  1.633,                 2.1867,                 1.2744,             0.00078629,             0.00078629,             0.00078629
                     39,                 1.7108,                 1.4982,                 1.2544,                0.44056,                0.45985,                0.33301,                0.15362,                 1.7099,                 2.2096,                 1.3516,             0.00080596,             0.00080596,             0.00080596
                     40,                 1.7728,                 1.4053,                 1.3399,                0.44056,                0.45985,                0.33301,                0.15362,                 1.7099,                 2.2096,                 1.3516,             0.00082556,             0.00082556,             0.00082556
                     41,                 1.7009,                 1.5526,                 1.3243,                0.45173,                0.45323,                0.30987,                0.14526,                 1.7614,                 2.2761,                 1.3653,             0.00084508,             0.00084508,             0.00084508
                     42,                 1.6353,                 1.5268,                 1.2683,                 0.4455,                0.59254,                0.33375,                0.16251,                 1.6288,                 2.4587,                 1.3132,             0.00086455,             0.00086455,             0.00086455
                     43,                 1.8337,                 1.4161,                 1.1692,                 0.4455,                0.59254,                0.33375,                0.16251,                 1.6288,                 2.4587,                 1.3132,             0.00088394,             0.00088394,             0.00088394
                     44,                 1.6181,                 1.4249,                 1.2683,                0.42454,                0.66816,                0.34285,                0.18148,                 1.5734,                 2.3888,                 1.2731,             0.00090327,             0.00090327,             0.00090327
                     45,                 1.5035,                 1.3898,                 1.2371,                0.42454,                0.66816,                0.34285,                0.18148,                 1.5734,                 2.3888,                 1.2731,             0.00092253,             0.00092253,             0.00092253
                     46,                 1.7986,                 1.4025,                 1.2296,                0.44542,                0.56517,                 0.3661,                0.21693,                 1.4312,                 2.0998,                 1.2431,             0.00094172,             0.00094172,             0.00094172
                     47,                 1.6737,                 1.5107,                 1.2969,                0.44542,                0.56517,                 0.3661,                0.21693,                 1.4312,                 2.0998,                 1.2431,             0.00096084,             0.00096084,             0.00096084
                     48,                 1.7497,                 1.5109,                 1.2137,                0.50887,                0.49967,                0.40503,                0.25377,                 1.5109,                 1.8261,                 1.2604,              0.0009799,              0.0009799,              0.0009799
                     49,                 1.7321,                 1.3377,                 1.2317,                0.50887,                0.49967,                0.40503,                0.25377,                 1.5109,                 1.8261,                 1.2604,             0.00099888,             0.00099888,             0.00099888
                     50,                 1.7296,                 1.5384,                 1.2827,                0.80507,                0.49825,                0.48765,                0.31652,                 1.5093,                 1.5367,                 1.2648,              0.0010178,              0.0010178,              0.0010178
                     51,                 1.7558,                 1.3763,                  1.198,                0.80507,                0.49825,                0.48765,                0.31652,                 1.5093,                 1.5367,                 1.2648,              0.0010264,              0.0010264,              0.0010264
                     52,                 1.6404,                 1.3496,                 1.2203,                0.81577,                0.48996,                0.54192,                0.35892,                 1.4627,                 1.4081,                 1.2695,              0.0010247,              0.0010247,              0.0010247
                     53,                 1.7301,                 1.3194,                 1.2207,                0.81577,                0.48996,                0.54192,                0.35892,                 1.4627,                 1.4081,                 1.2695,               0.001023,               0.001023,               0.001023
                     54,                 1.6857,                 1.3256,                 1.2472,                 0.6081,                0.49204,                0.57571,                0.39994,                 1.4019,                 1.3822,                 1.2844,              0.0010213,              0.0010213,              0.0010213
                     55,                 1.7788,                 1.3913,                 1.2436,                 0.6081,                0.49204,                0.57571,                0.39994,                 1.4019,                 1.3822,                 1.2844,              0.0010196,              0.0010196,              0.0010196
                     56,                 1.4912,                 1.2817,                 1.1947,                0.65319,                0.49502,                0.62486,                0.43478,                 1.4855,                 1.3742,                 1.3118,              0.0010179,              0.0010179,              0.0010179
                     57,                 1.6631,                 1.2634,                  1.225,                0.65319,                0.49502,                0.62486,                0.43478,                 1.4855,                 1.3742,                 1.3118,              0.0010162,              0.0010162,              0.0010162
                     58,                 1.7518,                 1.6094,                  1.283,                0.52261,                0.69738,                 0.6479,                0.46911,                 1.4561,                 1.3105,                 1.2479,              0.0010145,              0.0010145,              0.0010145
                     59,                 1.5697,                 1.2367,                 1.2246,                0.52261,                0.69738,                 0.6479,                0.46911,                 1.4561,                 1.3105,                 1.2479,              0.0010129,              0.0010129,              0.0010129
                     60,                 1.6551,                 1.3041,                 1.2231,                0.57229,                0.71373,                0.67086,                0.46814,                 1.4141,                 1.2398,                 1.2042,              0.0010112,              0.0010112,              0.0010112
                     61,                 1.6334,                 1.2768,                 1.2104,                0.57229,                0.71373,                0.67086,                0.46814,                 1.4141,                 1.2398,                 1.2042,              0.0010095,              0.0010095,              0.0010095
                     62,                 1.4559,                 1.2589,                 1.2002,                 0.5995,                0.72688,                0.70405,                0.50613,                  1.359,                  1.207,                 1.1842,              0.0010078,              0.0010078,              0.0010078
